"CHD";"CHS";"THA";"SKE";"GYR";"PSZ";"NIT";"NAV";"GYM";"PRP"
"16";999332.236441789;999600.06323333;983055.950323265;997600.409204904;951216.795943683;3.16362752955312e-08;986929.508745539;992295.920178196;986786.266352177;994512.529934544
"17";999287.695958572;999573.364091542;981936.40970207;997440.623711081;948050.495758383;8.8737762405422e-09;986064.241287065;991784.478593414;985911.583989186;994147.722501799
"18";999243.171177927;999546.674338577;980818.331897598;997280.845365494;944894.911370607;8.70372330704017e-09;985199.737584417;991273.195254538;985037.682085582;993783.587514814
"19";999198.648144337;999519.985010342;979701.560803315;997121.092679488;941749.826777128;8.06371604914826e-09;984335.991625054;990762.175278901;984164.554697042;993419.564528456
"20";999154.116010424;999493.28905165;978586.440843098;996961.365650077;938615.092851528;4.53062969246773e-09;983472.99871216;990251.419061555;983292.197599741;993055.255118808
"21";999109.605748413;999466.606884977;977472.033653281;996801.664245252;935490.9318481;3.59294176718732e-09;982610.767804105;989740.926151566;982420.618003539;992691.59917812
"22";999065.078311482;999439.912383439;976359.160154258;996641.989660408;932376.982603682;1.2525688241863e-09;981749.286724345;989230.728595852;981549.80540046;992327.459786238
"23";999020.558312562;999413.222322503;975247.661104146;996482.339568019;929273.547859582;9.20743423026583e-10;980888.564665669;988720.762140822;980679.768904283;991963.867729812
"24";998976.033693786;999386.528852244;974137.486519398;996322.715191354;926180.302788088;4.30345802311791e-10;980028.593549294;988211.067903121;979810.499566049;991600.005966848
"25";998931.511781157;999359.836357276;973028.733686637;996163.11635272;923097.426504855;2.84998016938949e-10;979169.377689313;987701.627326988;978942.002680996;991236.439521275
"26";998886.99115775;999333.144099958;971921.185966087;996003.543136683;920024.758718997;1.73005157133212e-10;978310.914052292;987192.45107787;978074.274150342;990872.876744039
"27";998842.472710342;999306.452538694;970814.910824012;995843.995546309;916962.324498432;9.66328359811596e-11;977453.203128851;986683.536925705;977207.314900982;990509.457539003
"28";998797.960168712;999279.763918399;969709.846007248;995684.473576548;913910.184438972;8.83208368185241e-11;976596.246763655;986174.88405512;976341.126972447;990146.454924896
"29";998753.445858836;999253.073858443;968605.789212622;995524.978959641;910868.073315328;3.0362796076922e-11;975740.038788349;985666.532653799;975475.703199176;989783.249696688
"30";998708.93323413;999226.384545643;967503.307338189;995365.508243;907836.135281455;1.76125197383607e-11;974884.582077094;985158.404721585;974611.047708299;989420.26195698
"31";998664.423763428;999199.696679601;966402.103428464;995206.063120871;904814.344659568;1.54993198180851e-11;974029.876668258;984650.538380836;973747.160183482;989057.553855497
"32";998619.915230433;999173.008767424;965302.133782183;995046.64360015;901802.55332798;9.85073210158474e-12;973175.919221411;984142.934438576;972884.036739866;988694.82078262
"33";998575.410548514;999146.322500946;964203.432840716;994887.249681551;898800.852248494;7.52869434804393e-12;972322.711973394;983635.591761675;972021.680157905;988332.391947338
"34";998530.906414883;999119.636140496;963105.988145559;994727.881360905;895809.096557265;5.41581768092335e-12;971470.25158334;983128.510833133;971160.086649315;987969.965375788
"35";998486.520823991;999093.043371473;962008.789358248;994568.5386336;892827.472619725;3.52513216363098e-12;970618.547778612;982621.691270402;970299.262246811;987608.438764746
"36";998442.053642895;999066.378562932;960913.218892735;994409.221633765;889855.73939031;3.2682442806717e-12;969767.586989617;982115.132762516;969439.199671256;987246.789832775
"37";998397.795137715;999039.920351766;959818.49676986;994249.930211581;886893.706731666;6.91260159523417e-13;968917.368252343;981608.83554399;968579.894028792;986884.760255373
"38";998353.318536799;999013.251723838;958725.982983339;994090.664598663;883941.562767275;3.37887473225723e-13;968067.892944839;981102.800742358;967721.35060852;986522.805854494
"39";998308.872168231;998986.606020988;957633.966700149;993931.424366276;880999.428462196;3.57058457648409e-13;967219.169834585;980597.02588855;966863.57364599;986161.670097276
"40";998264.59843441;998960.118572457;956542.981999056;993772.209671784;878066.988082106;1.17849800409699e-13;966371.193019766;980091.51158651;966006.554805959;985800.674269685
"41";998220.143696916;998933.461706989;955453.821848328;993613.020762271;875144.375969344;8.60692946268471e-14;965523.954781416;979586.257936041;965150.296679142;985439.58968491
