"CHD";"CHS";"THA";"SKE";"GYR";"PSZ";"NIT";"NAV";"GYM";"PRP"
"49";997962.52874607;998844.336492785;948406.31107587;997825.186520362;871731.080976886;2.78953567914942e-08;981245.063088073;990323.47974988;981153.565283515;991280.647975748
"50";997920.055657527;998820.046499076;947360.540391826;997779.885247921;869241.530051603;1.83535483176141e-08;980858.093626757;990122.864289613;980764.730012571;991099.624070013
"51";997877.6537978;998795.829565903;946315.091159898;997734.58529538;866759.349816458;1.92417348296804e-08;980471.295730175;989922.288680727;980376.055344839;990919.354907852
"52";997835.193136277;998771.55145651;945271.253676966;997689.294756014;864283.968819428;8.72886202026511e-09;980084.630971767;989721.805643133;979987.527612582;990738.366782766
"53";997792.75839255;998747.295368145;944228.302374456;997644.00084536;861815.922855831;9.32203292159082e-09;979698.133447616;989521.311673922;979599.160237911;990558.031200637
"54";997750.302721566;998723.016773377;943186.938509374;997598.708802324;859354.865285711;1.26265990713302e-08;979311.781913162;989320.856280053;979210.945071297;990377.501218026
"55";997707.845748872;998698.735213369;942146.808882284;997553.418130568;856900.824934224;1.24336800044257e-08;978925.581917115;989120.441953564;978822.883479626;990196.971634634
"56";997665.394317823;998674.457293968;941107.628877937;997508.12875098;854453.8307894;1.44443143218044e-08;978539.53730398;988920.068456643;978434.976661868;990016.593463432
"57";997622.987223239;998650.224046047;940069.122081217;997462.841615135;852013.880300092;1.6256874075961e-08;978153.652594103;988719.735201551;978047.225109841;989836.493588759
"58";997580.611071763;998626.022470857;939031.70319298;997417.559047965;849580.90397833;1.72602210631928e-08;977767.921039824;988519.441621756;977659.627342252;989656.453762723
"59";997538.197335389;998601.77981457;937995.746762938;997372.281581181;847154.836988969;1.87394281197884e-08;977382.335119454;988319.188464036;977272.182050523;989476.251554347
"60";997495.753458153;998577.507600974;936961.387244685;997327.004101457;844735.468295697;1.07334757235424e-08;976996.888835319;988118.980934909;976884.884825419;989295.547754181
"61";997453.302287922;998553.226167534;935928.306068953;997281.726058659;842323.055742573;8.93268942384395e-09;976611.595699228;987918.812123321;976497.742109742;989114.942278038
"62";997410.849222193;998528.941322475;934896.396845322;997236.448967601;839917.532976371;9.0642189961464e-09;976226.454513489;987718.683827667;976110.752817088;988934.369614975
"63";997368.522650024;998504.800795904;933864.668097838;997191.173520497;837519.096341218;6.65248908496654e-09;975841.484988614;987518.59581486;975723.92264373;988754.545685247
"64";997326.125925258;998480.575043775;932834.320931147;997145.90725113;835127.490801856;8.45636942037320e-09;975456.6604152;987318.545889733;975337.244844806;988574.562411161
"65";997283.793772514;998456.415924562;931804.870063831;997100.642350746;832742.744195685;8.24955501737037e-09;975071.99291875;987118.53687352;974950.721131035;988394.765145968
"66";997241.373428796;998432.163678825;930777.385157984;997055.381017272;830364.586869235;6.76037864269288e-09;974687.459048928;986918.568103567;974564.344976099;988214.331127843
"67";997198.956092022;998407.909499185;929750.66875695;997010.117659495;827993.388122939;7.45732651357796e-09;974303.086562303;986718.642163104;974178.126080517;988034.343409268
"68";997156.648825706;998383.780719611;928724.604426316;996964.854739756;825629.016141461;6.31750563349495e-09;973918.875491432;986518.755516171;973792.061905846;987854.683333304
"69";997114.290840203;998359.588043783;927699.805798476;996919.600564819;823271.383233598;6.85444672386558e-09;973534.811387472;986318.908071328;973406.150120424;987674.935133475
"70";997071.942807663;998335.402349006;926676.097736237;996874.347805222;820920.48783257;7.67465787088561e-09;973150.899622686;986119.101538735;973020.391414795;987495.244789685
"71";997029.598610754;998311.217396728;925653.495805413;996829.095885707;818576.309719024;8.38211391374001e-09;972767.139868389;985919.335467066;972634.785675022;987315.604438135
"72";996987.444850855;998287.279409322;924631.923966736;996783.846516572;816238.638957634;2.9177754248098e-09;972383.531470517;985719.609838185;972249.328798933;987135.817981061
"73";996945.111857039;998263.120989119;923611.879133831;996738.611551914;813907.792502743;3.27533134225492e-09;972000.068249427;985519.925346417;971864.027509946;986956.053634489
"74";996902.937968248;998239.15714965;922592.566891071;996693.369704114;811583.612224141;2.14793346544101e-09;971616.7659643;985320.281550873;971478.87981387;986776.599132856
"75";996860.905782251;998215.390179718;921574.367861432;996648.137993244;809265.99785215;8.48855337756321e-10;971233.614578386;985120.677247675;971093.883167778;986597.109678928
"76";996818.589499667;998191.269358123;920558.070533616;996602.920001165;806954.983961589;9.24339061477335e-10;970850.598436081;984921.113616169;970709.037672186;986417.193753331
"77";996776.328304452;998167.192941526;919542.164171101;996557.685670029;804650.6997731;9.70669322743262e-10;970467.747793859;984721.59213676;970324.348235519;986237.800016788
"78";996734.068661487;998143.110070146;918527.384202483;996512.455721077;802352.995375139;1.04010332679864e-09;970085.04757339;984522.109431141;969939.811146533;986058.426925041
"79";996692.003169671;998119.28734121;917513.672946708;996467.227421709;800061.679664385;3.68481281523405e-10;969702.498141932;984322.667031188;969555.422858038;985878.932550953
"80";996650.091877822;998095.69375141;916501.072458025;996422.013559494;797776.941411909;1.45206078381871e-10;969320.100811919;984123.265685077;969171.187761682;985699.549301313
"81";996608.02640931;998071.873615492;915489.61717724;996376.81206199;795498.869838631;1.77128419287849e-10;968937.853350581;983923.904631468;968787.107711221;985520.279879822
"82";996565.928258562;998047.993232094;914479.266774566;996331.602729932;793227.308864867;1.71024261869649e-10;968555.757498599;983724.583610571;968403.179995395;985341.064434196
"83";996523.63811982;998023.876301928;913470.390399833;996286.393623546;790962.187892559;1.82582165503709e-10;968173.804363567;983525.302853564;968019.403070483;985161.646803769
"84";996481.353513188;997999.751248717;912462.347332099;996241.174001991;788703.572758408;1.99211440838919e-10;967792.007837371;983326.063466077;967635.779333436;984982.4452907
"85";996438.988436234;997975.534843485;911455.983947748;996195.955265731;786451.330658345;2.16350614632121e-10;967410.35200379;983126.863849397;967252.305452262;984802.949828294
"86";996396.605070136;997951.293264972;910450.714009514;996150.732807687;784205.530328898;2.34357146316154e-10;967028.84751436;982927.705832328;966868.983831572;984623.518970929
"87";996354.208206894;997927.03513224;909446.779907254;996105.509792335;781966.103225935;2.56092350186803e-10;966647.490469379;982728.588195256;966485.813073057;984444.000442086
"88";996311.985027767;997902.992249292;908443.133674379;996060.28736042;779733.049805282;1.0303897833911e-10;966266.29804958;982529.511376706;966102.794614658;984264.887030223
"89";996269.900112238;997879.147663657;907440.561368456;996015.077235435;777506.290276461;3.76890742266461e-11;965885.251020162;982330.47366841;965719.925696128;984085.562904901
"90";996227.686076542;997855.118429629;906439.223125478;995969.885660677;775286.096664867;4.9279488854221e-11;965504.355122357;982131.476981379;965337.213000152;983906.506211927
