"CHD";"CHS";"THA";"SKE";"GYR";"PSZ";"NIT";"NAV";"GYM";"PRP"
"138";994202.143111306;996683.739774406;859655.572682602;993796.416392509;675840.260177112;0;947395.428039236;972626.826380283;947144.109767589;975341.678419373
"139";994159.894039702;996659.525840691;858707.014988372;993751.273141418;673910.413433382;0;947021.811144096;972429.79818076;946768.758201064;975164.239337376
"140";994117.61483572;996635.284074208;857759.888491208;993706.13197894;671986.002336334;0;946648.338413841;972232.808427103;946393.553950057;974986.581091149
"141";994075.396670996;996611.088755143;856813.319323699;993660.99271396;670067.153192196;0;946275.017400782;972035.858898346;946018.500173238;974809.262078943
"142";994033.122809835;996586.848138536;855868.348025592;993615.855756136;668153.707558395;0;945901.838599409;971838.948592733;945643.59289329;974631.617158301
"143";993990.827908634;996562.596673546;854924.525817053;993570.720871977;666245.547665071;0;945528.802984852;971642.094051853;945268.829854743;974453.614663665
"144";993948.52808678;996538.339770504;853981.580453632;993525.591229045;664342.838275566;0;945155.9144408;971445.322586951;944894.215205425;974275.643239884
"145";993906.246487152;996514.093713551;853039.501798891;993480.460026448;662445.815067596;0;944783.179008255;971248.534466279;944519.754624206;974098.280366543
"146";993863.950986059;996489.837780756;852098.93519523;993435.330957041;660554.087341329;0;944410.586842143;971051.784612111;944145.439981608;973920.620799434
"147";993821.653350931;996465.580308562;851159.474703635;993390.203831449;658667.690266939;0;944038.139960147;970855.075468085;943771.271827383;973742.829053883
"148";993779.357670531;996441.322334037;850221.092259028;993345.078688068;656786.715255765;0;943665.840433173;970658.406504815;943397.252590696;973565.125278906
"149";993737.063485611;996417.064227399;849283.7120551;993299.955584964;654911.061092273;0;943293.686973685;970461.778261468;943023.380510696;973387.36723198
"150";993694.771847186;996392.806761014;848347.405085003;993254.834547563;653040.827332001;0;942921.681206524;970265.189184457;942649.657871427;973209.747086395
"151";993652.48140778;996368.549472981;847412.03191764;993209.715594443;651175.846654071;0;942549.820957046;970068.645169657;942276.08155431;973032.019276832
"152";993610.192529221;996344.292696272;846477.233182997;993164.615334392;649316.177780338;0;942178.107240157;969872.241786243;941902.652933082;972854.307110832
"153";993567.903500674;996320.036464638;845543.944403682;993119.500683094;647461.900175152;0;941806.540905389;969675.773122604;941529.373792217;972676.728291599
"154";993525.638283913;996295.796005072;844611.132184018;993074.387967134;645613.093883292;0;941435.12686299;969479.343403967;941156.246930973;972499.689804553
"155";993483.466127264;996271.624267451;843679.042150653;993029.277474721;643769.581110347;0;941063.862411466;969282.952150183;940783.268923258;972322.853738155
"156";993441.208788128;996247.387266826;842748.778297983;992984.169477648;641931.137100155;0;940692.735672112;969086.60014072;940410.433609442;972145.376336666
"157";993398.937937239;996223.143939632;841819.60318121;992939.063275844;640097.93716686;0;940321.755011877;968890.289904583;940037.74567963;971967.91177277
"158";993356.675945647;996198.902125619;840891.160614438;992893.958884424;638270.135251102;0;939950.924753655;968694.019392452;939665.209095962;971790.868556527
"159";993314.403950322;996174.65293604;839964.056140252;992848.856607094;636447.387236184;0;939580.236712453;968497.78796607;939292.816585885;971613.470942458
"160";993272.130482293;996150.402695175;839037.931062492;992803.756316195;634629.805964432;0;939209.69425317;968301.601540439;938920.570656687;971436.037876163
"161";993229.857959559;996126.151975335;838112.283422785;992758.693427845;632817.396087943;0;938839.297790577;968105.586794334;938548.471846326;971258.617307416
"162";993187.584523446;996101.901242334;837187.801331951;992713.604344332;631010.166444493;0;938469.047404471;967909.552048448;938176.520513641;971081.229637604
"163";993145.310588043;996077.650984034;836264.767243853;992668.510365924;629208.194845837;0;938098.944078714;967713.481390567;937804.718405742;970904.003319361
"164";993103.038814506;996053.401133921;835342.225710851;992623.441781194;627411.266570721;0;937728.985672441;967517.569069776;937433.06181722;970726.679222651
"165";993060.772997739;996029.154203035;834421.11148284;992578.35194828;625619.673142676;0;937359.176280258;967321.577768814;937061.556386716;970549.723017064
"166";993018.50500525;996004.905808937;833500.597942582;992533.287092419;623832.990173629;0;936989.509624402;967125.743075924;936690.194318183;970372.461557691
"167";992976.238565019;995980.657887121;832581.517125786;992488.201457264;622051.438437632;0;936619.988820189;966929.839110208;936318.979701046;970195.248444132
"168";992933.973187437;995956.410360535;831663.519398124;992443.117713159;620274.979865569;0;936250.613801515;966733.971152572;935947.912330448;970018.075876962
"169";992891.71115122;995932.163458611;830746.540230235;992398.035980496;618503.591142179;0;935881.3844245;966538.144234302;935576.991948887;969840.931497545
"170";992849.451761543;995907.917159883;829830.598888182;992352.956284969;616737.26893428;0;935512.300713921;966342.354802682;935206.218685029;969663.826874879
"171";992807.194870917;995883.671513596;828915.726390669;992307.878633216;614976.028140269;0;935143.362953707;966146.601803897;934835.593051973;969486.803685045
"172";992764.940288268;995859.426435267;828001.708148016;992262.803281976;613219.760964799;0;934774.570176446;965950.90448094;934465.113293332;969309.745002436
"173";992722.687517494;995835.181950188;827088.615536742;992217.730565572;611468.509878451;0;934405.922817887;965755.25915719;934094.780290679;969132.715863105
"174";992680.435650336;995810.938034623;826176.642170697;992172.65923433;609722.271789397;0;934037.420899506;965559.633984181;933724.594229307;968955.728106851
"175";992638.185253186;995786.694700562;825265.429896646;992127.593816049;607981.006489377;0;933669.064242403;965364.099049293;933354.55464526;968778.76154627
"176";992595.938896623;995762.453428945;824355.52299835;992082.526583335;606244.894026573;0;933300.855376687;965168.544324006;932984.665068601;968602.106234649
"177";992553.691951708;995738.21149862;823445.814618987;992037.915445608;604513.550296197;0;932932.789209848;964973.196321005;932614.918699957;968425.201211977
"178";992511.44348409;995713.968686533;822537.872383209;991992.853747754;602787.236543129;0;932564.868795328;964777.721563946;932245.320105856;968248.410864322
"179";992469.19467402;995689.726310888;821630.631099131;991947.797702346;601065.775526185;0;932197.092877224;964582.350186655;931875.866765288;968071.572921866
"180";992426.9499367;995665.48533266;820724.639573856;991902.738856832;599349.248860875;0;931829.462041648;964386.965961953;931506.560022962;967894.776051751
"181";992384.70754329;995641.245211063;819819.776263468;991857.681876529;597637.657297922;0;931461.976468675;964191.61050208;931137.400229682;967718.04922925
"182";992342.468624155;995617.005859432;818915.899327804;991812.626918082;595930.933762013;0;931094.635658667;963996.296723927;930768.386420293;967541.332981962
"183";992300.232671989;995592.76719125;818012.410569476;991767.629046746;594229.058101767;0;930727.439553252;963801.172771329;930399.518380823;967364.624096181
"184";992257.997338998;995568.529131919;817110.522910329;991722.578525388;592532.151902132;0;930360.389275079;963605.935496411;930030.798322767;967188.073574148
"185";992215.762455492;995544.291472816;816208.813558944;991677.950427878;590839.978953215;0;929993.482743589;963410.907834835;929662.222594197;967011.428457331
"186";992173.527152684;995520.053168075;815308.765645539;991632.905185847;589152.667069761;0;929626.72097939;963215.757913638;929293.793207671;966834.829217969
"187";992131.29208607;995495.815487121;814409.203945179;991587.929841011;587470.152905825;0;929260.103780114;963020.800567577;928925.509560292;966658.249531205
"188";992089.059927213;995471.578972154;813510.438561334;991543.429136771;585792.448275032;0;928893.631165078;962825.881683593;928557.371866077;966481.702122182
"189";992046.825979844;995447.341472018;812612.649209657;991498.934733184;584119.536125587;0;928527.303078681;962631.002767972;928189.380067585;966305.186980941
"190";992004.59088457;995423.103021261;811716.233881625;991453.907270552;582451.403273797;0;928161.119463181;962436.087182593;927821.534117553;966128.704348611
"191";991962.360609824;995398.867324381;810821.266878116;991408.871250664;580788.189818133;0;927795.08208925;962241.126604639;927453.836664116;965952.465308998
"192";991920.134890389;995374.632959286;809926.878012929;991363.849319851;579129.558413374;0;927429.187248507;962046.299765216;927086.282211407;965776.04530912
"193";991877.91274991;995350.399705052;809033.785957242;991318.817271994;577475.68943235;0;927063.436738439;961851.431205698;926718.873600515;965599.666843321
"194";991835.692956196;995326.167264022;808141.573541679;991273.788442561;575826.533090949;0;926697.830435695;961656.626383226;926351.610466083;965423.314650706
"195";991793.476087981;995301.935572879;807249.801022222;991229.013543112;574182.084611387;0;926332.368309022;961462.002876729;925984.492827388;965246.992908909
"196";991751.258551732;995277.703685137;806359.490706299;991183.989688305;572542.340034944;0;925967.050322003;961267.277687395;925617.520734336;965070.70519824
"197";991709.041648871;995253.472361748;805469.911552718;991138.992406375;570907.272538368;0;925601.876396606;961072.679997501;925250.69402325;964894.447933217
"198";991666.827513285;995229.242070026;804581.234430989;991094.021944597;569276.877222188;0;925236.846486317;960878.148714785;924884.012686671;964718.222834038
"199";991624.614357615;995205.012340234;803693.83414904;991049.004907162;567651.142187864;0;924871.960539754;960683.554660043;924517.476701414;964542.030941421
"200";991582.403386674;995180.78333126;802807.299680323;991003.998115442;566030.046669711;0;924507.218488495;960489.041203352;924151.085951725;964365.870418679
"201";991540.195002685;995156.555067197;801921.372344571;990959.362813215;564413.581941292;0;924142.620280807;960294.650410273;923784.840397363;964189.741895631
"202";991497.986001881;995132.326216473;801036.577995834;990914.406593888;562801.736251307;0;923778.165863053;960100.281043125;923418.739989436;964013.645560633
"203";991455.777530792;995108.097816165;800152.570521037;990869.901882758;561194.494338828;0;923413.855176656;959905.96190603;923052.784669262;963837.581394689
"204";991413.569467921;995083.869072789;799269.764085226;990824.931766802;559591.843749054;0;923049.688164692;959711.65624632;922686.974381213;963661.549420753
